year,avg_tempo
2017,115.98528571428572
2016,121.35623333333334
2015,126.11088
2014,124.9744814814815
2013,113.69393103448274
2012,118.61410714285715
2011,118.31496666666665
2010,110.10387179487178
2009,117.76108333333332
2008,127.65186111111105
2007,120.04757575757577
2006,109.063
2005,115.26521212121212
2004,121.90047222222223
2003,108.03442424242425
2002,114.0581111111111
2001,112.44828947368423
2000,105.51855555555557
1999,116.92719512195123
1998,110.64354999999996
1997,112.85916129032256
1996,100.1144642857143
1995,108.53380555555555
1994,108.0540606060606
1993,112.16934375000001
1992,106.28671428571428
1991,110.93001724137936
1990,112.713
1989,119.96378571428575
1988,116.72999999999995
1987,120.97649295774649
1986,116.13788571428573
1985,114.76465151515154
1984,115.65694915254234
1983,122.09809999999997
1982,110.60275000000001
1981,117.68010204081632
1980,103.8892857142857
1979,1.607843137254902
1978,92.87084782608694
1977,110.2306181818182
1976,117.86399999999999
1975,108.77308108108107
1974,108.18706666666665
1973,121.64957812500002
1972,125.79665624999998
1971,107.15803636363634
1970,98.81789655172415
1969,115.58639655172416
1968,114.49531666666665
